u,v,key,osmid,lanes,name,highway,maxspeed,oneway,length,geometry,service,ref,est_width,access
40430710,40430712,0,5515442,,,service,,False,64.495,"LINESTRING (-122.5996242 45.4658399, -122.5994072 45.4658623, -122.5992891 45.465868, -122.5990152 45.4658611, -122.5988019 45.465841)",driveway,,,
40430710,40435510,0,420370828,,Southeast 62nd Avenue,residential,20 mph,False,78.024,"LINESTRING (-122.5996242 45.4658399, -122.5996172 45.4661562, -122.5996086 45.4665415)",,,,
40430712,40430710,0,5515442,,,service,,False,64.495,"LINESTRING (-122.5988019 45.465841, -122.5990152 45.4658611, -122.5992891 45.465868, -122.5994072 45.4658623, -122.5996242 45.4658399)",driveway,,,
40431268,40431269,0,5515500,,,service,,False,78.771,"LINESTRING (-122.5840309 45.4686623, -122.5840263 45.4693707)",driveway,,,
40431268,40580855,0,188813360,2,Southeast Flavel Street,tertiary,25 mph,False,80.384,"LINESTRING (-122.5840309 45.4686623, -122.5830001 45.4686654)",,,,
40431268,7150714007,0,188813360,2,Southeast Flavel Street,tertiary,25 mph,False,74.862,"LINESTRING (-122.5840309 45.4686623, -122.5849909 45.4686605)",,,,
40431269,40431268,0,5515500,,,service,,False,78.771,"LINESTRING (-122.5840263 45.4693707, -122.5840309 45.4686623)",driveway,,,
40435495,40435506,0,5515841,,Southeast Lexington Street,residential,20 mph,False,72.812,"LINESTRING (-122.6083037 45.4665269, -122.608112 45.4665537, -122.6073738 45.4665528)",,,,
40435495,40633343,0,31526965,2,Southeast Flavel Drive,tertiary,20 mph,False,13.793000000000001,"LINESTRING (-122.6083037 45.4665269, -122.6082491 45.4664925, -122.6081765 45.4664408)",,,,
40435495,40469972,0,31526965,2,Southeast Flavel Drive,tertiary,20 mph,False,116.635,"LINESTRING (-122.6083037 45.4665269, -122.6084915 45.4666338, -122.6086465 45.4667164, -122.6088041 45.4667942, -122.6089138 45.4668545, -122.6089968 45.4669076, -122.6090633 45.4669612, -122.6091335 45.4670202, -122.609192 45.4670723, -122.6093684 45.4672504)",,,,
40435506,40435507,0,5515841,,Southeast Lexington Street,residential,20 mph,False,201.651,"LINESTRING (-122.6073738 45.4665528, -122.604788 45.46655)",,,,
40435506,40435495,0,5515841,,Southeast Lexington Street,residential,20 mph,False,72.812,"LINESTRING (-122.6073738 45.4665528, -122.608112 45.4665537, -122.6083037 45.4665269)",,,,
40435506,1649636409,0,112635190,,Southeast 54th Avenue,residential,20 mph,False,79.29899999999999,"LINESTRING (-122.6073738 45.4665528, -122.6073846 45.4659009, -122.6073861 45.4658397)",,,,
40435506,40469976,0,112635190,,Southeast 54th Avenue,residential,20 mph,False,78.08,"LINESTRING (-122.6073738 45.4665528, -122.6073683 45.4666322, -122.6073848 45.466989, -122.6073697 45.4672545)",,,,
40435507,40435508,0,5515841,,Southeast Lexington Street,residential,20 mph,False,203.211,"LINESTRING (-122.604788 45.46655, -122.6021822 45.4665458)",,,,
40435507,40435506,0,5515841,,Southeast Lexington Street,residential,20 mph,False,201.651,"LINESTRING (-122.604788 45.46655, -122.6073738 45.4665528)",,,,
40435507,40459131,0,112635194,,Southeast 57th Avenue,residential,20 mph,False,77.842,"LINESTRING (-122.604788 45.46655, -122.6047744 45.4663627, -122.6047791 45.4662263, -122.6047791 45.4661183, -122.6047884 45.466019, -122.6048096 45.4658511)",,,,
40435507,40459128,0,112635194,,Southeast 57th Avenue,residential,20 mph,False,78.42299999999999,"LINESTRING (-122.604788 45.46655, -122.6047881 45.4666944, -122.6047898 45.4669512, -122.6047915 45.4670529, -122.6048031 45.4672551)",,,,
40435508,4604914352,0,5515841,,Southeast Lexington Street,residential,20 mph,False,96.802,"LINESTRING (-122.6021822 45.4665458, -122.6009409 45.4665437)",,,,
40435508,40435507,0,5515841,,Southeast Lexington Street,residential,20 mph,False,203.211,"LINESTRING (-122.6021822 45.4665458, -122.604788 45.46655)",,,,
40435508,40469980,0,127002847,,Southeast 60th Avenue,residential,20 mph,False,78.138,"LINESTRING (-122.6021822 45.4665458, -122.6021766 45.4672485)",,,,
40435508,40594683,0,127002847,,Southeast 60th Avenue,residential,20 mph,False,77.316,"LINESTRING (-122.6021822 45.4665458, -122.6021841 45.4663069, -122.6021898 45.4658505)",,,,
40435510,4636369159,0,5515841,,Southeast Lexington Street,residential,20 mph,False,87.982,"LINESTRING (-122.5996086 45.4665415, -122.6007368 45.4665434)",,,,
40435510,40430710,0,420370828,,Southeast 62nd Avenue,residential,20 mph,False,78.024,"LINESTRING (-122.5996086 45.4665415, -122.5996172 45.4661562, -122.5996242 45.4658399)",,,,
40435510,40469984,0,420370828,,Southeast 62nd Avenue,residential,20 mph,False,78.508,"LINESTRING (-122.5996086 45.4665415, -122.599605 45.4668345, -122.5996009 45.467071, -122.5995978 45.4672475)",,,,
40435517,40435518,0,5515842,,Southeast Lexington Street,residential,20 mph,False,49.521,"LINESTRING (-122.592026 45.466384, -122.591391 45.4663865)",,,,
40435518,40435517,0,5515842,,Southeast Lexington Street,residential,20 mph,False,49.521,"LINESTRING (-122.591391 45.4663865, -122.592026 45.466384)",,,,
40435518,7153085257,0,5515842,,Southeast Lexington Street,residential,20 mph,False,111.026,"LINESTRING (-122.591391 45.4663865, -122.5901284 45.4663889, -122.5899673 45.4663892)",,,,
40435518,40549609,0,"[5523459, 127430412, 420370839]",,Southeast 70th Avenue,residential,20 mph,False,251.846,"LINESTRING (-122.591391 45.4663865, -122.5913883 45.4672557, -122.5913957 45.467352, -122.5913801 45.467427, -122.5913408 45.4675019, -122.5913174 45.4676285, -122.591318 45.4679907, -122.5913192 45.4686445)",,,,
40435520,7153085257,0,5515842,,Southeast Lexington Street,residential,20 mph,False,47.001,"LINESTRING (-122.5893646 45.4663903, -122.5899673 45.4663892)",,,,
40435520,1736627915,0,319202497,,Southeast 72nd Avenue,tertiary,25 mph,False,5.56,"LINESTRING (-122.5893646 45.4663903, -122.5893649 45.4663403)",,,,
40435520,3727110293,0,319202497,,Southeast 72nd Avenue,tertiary,25 mph,False,71.498,"LINESTRING (-122.5893646 45.4663903, -122.5893632 45.4668356, -122.589363 45.4670333)",,,,
40439150,40439199,0,319202497,,Southeast 72nd Avenue,tertiary,25 mph,False,22.74,"LINESTRING (-122.5893687 45.4650556, -122.5893706 45.4648511)",,,,
40439150,40622725,0,319202497,,Southeast 72nd Avenue,tertiary,25 mph,False,40.264,"LINESTRING (-122.5893687 45.4650556, -122.5893704 45.4654177)",,,,
40439150,7010639624,0,420390979,,Southeast Crystal Springs Boulevard,residential,20 mph,False,101.88900000000001,"LINESTRING (-122.5893687 45.4650556, -122.5885929 45.465059, -122.5880623 45.4650656)",,,,
40439153,40557966,0,5524297,,Southeast 74th Avenue,residential,20 mph,False,199.374,"LINESTRING (-122.5874417 45.4650732, -122.5874505 45.4632802)",,,,
40439153,40421827,0,420390980,,Southeast Crystal Springs Boulevard,residential,20 mph,False,55.629,"LINESTRING (-122.5874417 45.4650732, -122.5867284 45.4650775)",,,,
40439153,7010639624,0,"[420390979, 420390980]",,Southeast Crystal Springs Boulevard,residential,20 mph,False,48.406,"LINESTRING (-122.5874417 45.4650732, -122.5875812 45.4650715, -122.5880623 45.4650656)",,,,
40439158,40421827,0,5516031,,Southeast Crystal Springs Boulevard,residential,20 mph,False,46.277,"LINESTRING (-122.586135 45.4650796, -122.5867284 45.4650775)",,,,
40439158,7975246527,0,5516031,,Southeast Crystal Springs Boulevard,residential,20 mph,False,69.752,"LINESTRING (-122.586135 45.4650796, -122.5855152 45.4650803, -122.5852406 45.4650822)",,,,
40439158,40448076,0,112635201,,Southeast 75th Place,residential,20 mph,False,199.709,"LINESTRING (-122.586135 45.4650796, -122.5861293 45.4649004, -122.5861562 45.4647117, -122.5861708 45.4632846)",,,,
40439158,40448068,0,"[420390976, 5516530]",,Southeast 75th Place,residential,20 mph,False,197.64999999999998,"LINESTRING (-122.586135 45.4650796, -122.5861164 45.465932, -122.5861136 45.466857)",,,,
40439163,7975246534,0,5516031,,Southeast Crystal Springs Boulevard,residential,20 mph,False,23.085,"LINESTRING (-122.5848777 45.4650847, -122.5851737 45.4650827)",,,,
40439163,40455754,0,5516998,,Southeast 76th Place,residential,,False,200.301,"LINESTRING (-122.5848777 45.4650847, -122.5848448 45.4632835)",,,,
40439163,40439166,0,5516031,,Southeast Crystal Springs Boulevard,residential,20 mph,False,100.852,"LINESTRING (-122.5848777 45.4650847, -122.5840589 45.4650829, -122.5835845 45.4650848)",,,,
40439166,40439169,0,5516031,,Southeast Crystal Springs Boulevard,residential,20 mph,False,25.748,"LINESTRING (-122.5835845 45.4650848, -122.5832544 45.4650895)",,,,
40439166,40580829,0,5526306,,Southeast 78th Avenue,residential,20 mph,False,199.743,"LINESTRING (-122.5835845 45.4650848, -122.5835701 45.4632885)",,,,
40439166,40439163,0,5516031,,Southeast Crystal Springs Boulevard,residential,20 mph,False,100.852,"LINESTRING (-122.5835845 45.4650848, -122.5840589 45.4650829, -122.5848777 45.4650847)",,,,
40439169,40439166,0,5516031,,Southeast Crystal Springs Boulevard,residential,20 mph,False,25.748,"LINESTRING (-122.5832544 45.4650895, -122.5835845 45.4650848)",,,,
40439169,40719448,0,5538364,,78th Avenue,residential,,False,70.664,"LINESTRING (-122.5832544 45.4650895, -122.5832539 45.465725)",,,,
40439169,40439175,0,5516031,,Southeast Crystal Springs Boulevard,residential,20 mph,False,76.31,"LINESTRING (-122.5832544 45.4650895, -122.582665 45.4650891, -122.5822759 45.4650913)",,,,
40439175,40429961,0,5515370,,Southeast 79th Avenue,residential,20 mph,False,195.662,"LINESTRING (-122.5822759 45.4650913, -122.582277 45.46593, -122.582281 45.466313, -122.582861 45.466315, -122.583048 45.466315)",,,,
40439175,2463313763,0,"[420390981, 5516031]",,Southeast Crystal Springs Boulevard,residential,20 mph,False,84.86500000000001,"LINESTRING (-122.5822759 45.4650913, -122.5816391 45.4650932, -122.5811877 45.4650945)",,,,
40439175,40439169,0,5516031,,Southeast Crystal Springs Boulevard,residential,20 mph,False,76.31,"LINESTRING (-122.5822759 45.4650913, -122.582665 45.4650891, -122.5832544 45.4650895)",,,,
40439184,4576205002,0,164766571,,Southeast 82nd Avenue,primary,30 mph,False,27.109,"LINESTRING (-122.5790503 45.4651015, -122.5790506 45.4648577)",,OR 213,,
40439184,7975600284,0,164766571,,Southeast 82nd Avenue,primary,30 mph,False,20.338,"LINESTRING (-122.5790503 45.4651015, -122.5790505 45.4652844)",,OR 213,,
40439184,4576205003,0,420390981,,Southeast Crystal Springs Boulevard,residential,20 mph,False,113.518,"LINESTRING (-122.5790503 45.4651015, -122.5805059 45.4650966)",,,,
40439197,40439199,0,5516032,,Southeast Crystal Springs Boulevard,residential,20 mph,False,299.181,"LINESTRING (-122.5932069 45.4648624, -122.5893706 45.4648511)",,,,
40439197,40579256,0,420385565,,Southeast 68th Avenue,residential,20 mph,False,76.794,"LINESTRING (-122.5932069 45.4648624, -122.5932156 45.4641718)",,,,
40439197,40579254,0,420385565,,Southeast 68th Avenue,residential,20 mph,False,61.953,"LINESTRING (-122.5932069 45.4648624, -122.5932179 45.4654195)",,,,
40439199,40439197,0,5516032,,Southeast Crystal Springs Boulevard,residential,20 mph,False,299.181,"LINESTRING (-122.5893706 45.4648511, -122.5932069 45.4648624)",,,,
40439199,40622728,0,319202497,,Southeast 72nd Avenue,tertiary,25 mph,False,57.888,"LINESTRING (-122.5893706 45.4648511, -122.5893719 45.4643305)",,,,
40439199,40439150,0,319202497,,Southeast 72nd Avenue,tertiary,25 mph,False,22.74,"LINESTRING (-122.5893706 45.4648511, -122.5893687 45.4650556)",,,,
40440067,40440069,0,5516094,,Southeast Rural Street,residential,20 mph,False,111.289,"LINESTRING (-122.6160012 45.4718957, -122.614574 45.4718989)",,,,
40440067,40479348,0,5518638,2,Southeast 45th Avenue,tertiary,25 mph,False,77.648,"LINESTRING (-122.6160012 45.4718957, -122.6159968 45.4711974)",,,,
40440067,8552230810,0,5518638,2,Southeast 45th Avenue,tertiary,25 mph,False,41.601,"LINESTRING (-122.6160012 45.4718957, -122.616008 45.4722698)",,,,
40440069,40440074,0,5516094,,Southeast Rural Street,residential,20 mph,False,45.352,"LINESTRING (-122.614574 45.4718989, -122.6139924 45.471896)",,,,
40440069,40440067,0,5516094,,Southeast Rural Street,residential,20 mph,False,111.289,"LINESTRING (-122.614574 45.4718989, -122.6160012 45.4718957)",,,,
40440069,40458163,0,112641996,,Southeast 47th Avenue,residential,20 mph,False,280.938,"LINESTRING (-122.614574 45.4718989, -122.614583 45.4731615, -122.6145777 45.4738057, -122.6145771 45.4744254)",,,,
40440074,40440077,0,5516094,,Southeast Rural Street,residential,20 mph,False,154.573,"LINESTRING (-122.6139924 45.471896, -122.6120101 45.4718979)",,,,
40440074,40440069,0,5516094,,Southeast Rural Street,residential,20 mph,False,45.352,"LINESTRING (-122.6139924 45.471896, -122.614574 45.4718989)",,,,
40440074,40621469,0,419807319,,Southeast 48th Avenue,residential,20 mph,False,77.347,"LINESTRING (-122.6139924 45.471896, -122.6139937 45.4712004)",,,,
40440074,40621463,0,"[419807320, 5534329]",,"['Southeast Bybee Boulevard', 'Southeast 48th Avenue']",residential,20 mph,False,118.711,"LINESTRING (-122.6139924 45.471896, -122.614002 45.4725904, -122.61347 45.4725819)",,,,
40440077,40440074,0,5516094,,Southeast Rural Street,residential,20 mph,False,154.573,"LINESTRING (-122.6120101 45.4718979, -122.6139924 45.471896)",,,,
40440077,40645941,0,5532609,,Southeast 50th Avenue,residential,20 mph,False,76.134,"LINESTRING (-122.6120101 45.4718979, -122.612033 45.4725824)",,,,
40440077,40645945,0,112635135,,Southeast 50th Avenue,residential,20 mph,False,77.915,"LINESTRING (-122.6120101 45.4718979, -122.6120051 45.4711972)",,,,
40440077,40440083,0,5516094,,Southeast Rural Street,residential,20 mph,False,157.077,"LINESTRING (-122.6120101 45.4718979, -122.610107 45.471892, -122.6099976 45.4718777)",,,,
40440083,40660850,0,189288794,2,Southeast 52nd Avenue,secondary,25 mph,False,77.66,"LINESTRING (-122.6099976 45.4718777, -122.6100043 45.4711793)",,,,
40440083,40440077,0,5516094,,Southeast Rural Street,residential,20 mph,False,157.077,"LINESTRING (-122.6099976 45.4718777, -122.610107 45.471892, -122.6120101 45.4718979)",,,,
40440083,40660843,0,123043727,2,Southeast 52nd Avenue,secondary,25 mph,False,83.987,"LINESTRING (-122.6099976 45.4718777, -122.6099944 45.4719402, -122.6099787 45.472065, -122.6099586 45.4722178, -122.6099302 45.4723613, -122.6098993 45.4724887, -122.6098573 45.4726255)",,,,
40440083,40440089,0,419807326,,Southeast Rural Street,residential,20 mph,False,205.208,"LINESTRING (-122.6099976 45.4718777, -122.609833 45.471859, -122.6073681 45.4718668)",,,,
40440089,40613662,0,5529601,,Southeast 54th Avenue,residential,20 mph,False,89.368,"LINESTRING (-122.6073681 45.4718668, -122.6073657 45.4726705)",,,,
40440089,40440093,0,419807326,,Southeast Rural Street,residential,20 mph,False,195.597,"LINESTRING (-122.6073681 45.4718668, -122.6048597 45.4718692)",,,,
40440089,40613666,0,112635190,,Southeast 54th Avenue,residential,20 mph,False,78.271,"LINESTRING (-122.6073681 45.4718668, -122.6073875 45.4717956, -122.6073806 45.4711642)",,,,
40440089,40440083,0,419807326,,Southeast Rural Street,residential,20 mph,False,205.208,"LINESTRING (-122.6073681 45.4718668, -122.609833 45.471859, -122.6099976 45.4718777)",,,,
40440093,40459108,0,119415804,,Southeast 57th Avenue,residential,20 mph,False,67.195,"LINESTRING (-122.6048597 45.4718692, -122.6048623 45.4712649)",,,,
40440093,40440089,0,419807326,,Southeast Rural Street,residential,20 mph,False,195.597,"LINESTRING (-122.6048597 45.4718692, -122.6073681 45.4718668)",,,,
40440093,40459104,0,420365150,,Southeast 57th Avenue,residential,20 mph,False,88.88899999999998,"LINESTRING (-122.6048597 45.4718692, -122.6048566 45.4722324, -122.6048482 45.4722987, -122.6048224 45.4724147, -122.6048145 45.4725102, -122.6048082 45.4726667)",,,,
40440106,40440107,0,5516095,,Southeast Rural Street,residential,20 mph,False,148.46,"LINESTRING (-122.5893489 45.4717488, -122.587445 45.4717506)",,,,
40440106,40622712,0,188690226,2,Southeast 72nd Avenue,tertiary,25 mph,False,71.109,"LINESTRING (-122.5893489 45.4717488, -122.5893485 45.4711093)",,,,
40440106,40622704,0,188690226,2,Southeast 72nd Avenue,tertiary,25 mph,False,68.574,"LINESTRING (-122.5893489 45.4717488, -122.5893493 45.4723655)",,,,
40440107,40440110,0,5516095,,Southeast Rural Street,residential,20 mph,False,147.353,"LINESTRING (-122.587445 45.4717506, -122.5855553 45.4717477)",,,,
40440107,40440106,0,5516095,,Southeast Rural Street,residential,20 mph,False,148.46,"LINESTRING (-122.587445 45.4717506, -122.5893489 45.4717488)",,,,
40440107,40557943,0,5524294,,Southeast 74th Avenue,residential,,False,69.165,"LINESTRING (-122.587445 45.4717506, -122.5874509 45.4723726)",,,,
40440110,40440113,0,5516095,,Southeast Rural Street,residential,20 mph,False,117.663,"LINESTRING (-122.5855553 45.4717477, -122.5840464 45.4717395)",,,,
40440110,40440107,0,5516095,,Southeast Rural Street,residential,20 mph,False,147.353,"LINESTRING (-122.5855553 45.4717477, -122.587445 45.4717506)",,,,
40440110,40547244,0,5523201,,Southeast 76th Avenue,residential,20 mph,False,69.001,"LINESTRING (-122.5855553 45.4717477, -122.58555 45.471787, -122.585549 45.472051, -122.5855241 45.4721319, -122.5855379 45.472366)",,,,
40440110,40547255,0,"[420377422, 420377415]",,Southeast 76th Avenue,residential,20 mph,False,84.09299999999999,"LINESTRING (-122.5855553 45.4717477, -122.5855244 45.4716796, -122.5855241 45.4713704, -122.5855238 45.4709948)",,,,
40440113,40440116,0,5516095,,Southeast Rural Street,residential,20 mph,False,21.937,"LINESTRING (-122.5840464 45.4717395, -122.5837651 45.4717367)",,,,
40440113,40440110,0,5516095,,Southeast Rural Street,residential,20 mph,False,117.663,"LINESTRING (-122.5840464 45.4717395, -122.5855553 45.4717477)",,,,
40440113,40671415,0,112641926,,Southeast 77th Avenue,residential,25 mph,False,70.799,"LINESTRING (-122.5840464 45.4717395, -122.5840416 45.4723762)",,,,
40440116,40440113,0,5516095,,Southeast Rural Street,residential,20 mph,False,21.937,"LINESTRING (-122.5837651 45.4717367, -122.5840464 45.4717395)",,,,
40440318,1564364664,0,123043727,2,Southeast 52nd Avenue,secondary,25 mph,False,55.752,"LINESTRING (-122.60922 45.4744312, -122.6093918 45.4739445)",,,,
40440318,5843308375,0,123043727,2,Southeast 52nd Avenue,secondary,25 mph,False,7.286,"LINESTRING (-122.60922 45.4744312, -122.6091987 45.474495)",,,,
40440318,40622068,0,"[112641924, 5516108]",,Southeast Glenwood Street,"['residential', 'footway']",20 mph,False,97.337,"LINESTRING (-122.60922 45.4744312, -122.6093185 45.4744481, -122.6099877 45.4744463, -122.6101231 45.4744142, -122.6104579 45.4744143)",,,,
